Outlet,MapID,ESRI,Economist,National Geographic,Wall Street Journal,Washington Post,NYT Print,NYT Online,Dimension1,Dimension2,Projection Class Cylindrical,Projection Class Conic,Projection Class Planar,Projection Class Compromise,Projection Class Unclear,Orientation Conventional,Orientation Non-conventional,Orientation Unknown,Perspective Planimetric,Perspective Oblique,Scale Municipal,Scale Regional,Scale Country,Scale Continental/Oceanic,Scale World,Info Density None,Info Density Light,Info Density Intermediate,Info Density Dense,Visual Hierarchy None,Visual Hierarchy Simple,Visual Hierarchy Intermediate,Visual Hierarchy Complex,Base Map None/Abstract,Base Map Vector Map,Base Map Imagery,Base Map Terrain,Base Map Combination,Accenting None,Accenting Masking,Accenting Annotation,Accenting Highlighting,Accenting Close-up Zooming,Label Density None,Label Density Light,Label Density Intermediate,Label Density Dense,Label Hierarchy None,Label Hierarchy Simple,Label Hierarchy Intermediate,Label Hierarchy Complex,Attributes None,Attributes One,Attributes Two,Attributes Many,Time None,Time Events,Time Intervals,Time Change,Time Movement,Map Type None,Map Type Proportional Symbol,Map Type Dot Density,Map Type Iconic Point Symbol,Map Type Isoline,Map Type Flow Map,Map Type Choropleth / Shaded Point,Map Type Cartogram,Map Type Value-by-alpha,Map Type Surface,Map Type Prism,Map Type Combination,Map Type Other,Point Symbolization None,Point Symbolization Abstract,Point Symbolization Iconic,Point Symbolization Realistic,Point Symbolization Combination,Placement No text,Placement Beginning,Placement Middle,Placement End,Aspect Portrait,Aspect Landscape,Aspect Square/Circle,Title None,Title Caption,Title Legend Only,Title Subheading,Title Main Heading,Legend None,Legend Nominal,Legend Ordinal,Legend Numerical,Legend Combination,Scale None,Scale Bar,Scale Representative Fraction,Scale Verbal Statement,Scale Combination,North None,North Arrow,North Graticule,North Combination,Context Maps None,Context Maps Inset Map,Context Maps More than one Inset Map,Context Maps Location Map,Context Maps More than one Location Map,Context Maps Arrow to another location
ESRI,Esri_map001,1,0,0,0,0,0,0,-0.283,0.209,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
ESRI,Esri_map002,1,0,0,0,0,0,0,-0.862,0.221,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ESRI,Esri_map003,1,0,0,0,0,0,0,-0.894,-0.139,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ESRI,Esri_map004,1,0,0,0,0,0,0,-0.862,0.221,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ESRI,Esri_map005,1,0,0,0,0,0,0,-0.859,-0.232,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ESRI,Esri_map006,1,0,0,0,0,0,0,-0.842,0.192,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ESRI,Esri_map007,1,0,0,0,0,0,0,-0.792,0.309,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
ESRI,Esri_map008,1,0,0,0,0,0,0,-0.608,0.631,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
ESRI,Esri_map009,1,0,0,0,0,0,0,-0.301,0.039,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
ESRI,Esri_map010,1,0,0,0,0,0,0,-0.395,-0.565,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
